Sulley's Locker,SCARER,120
Mike's Cubicle,LAUGHER,90
Randall's Lair,SCARER,110
Celia's Station,LAUGHER,95
Waternoose's Office,SCARER,105
Roz's Desk,LAUGHER,100
Fungus's Lab,SCARER,115
Needleman's Space,LAUGHER,85
Smitty's Corner,SCARER,100
Flint's Workstation,LAUGHER,110
Bile's Locker,SCARER,95
George's Cubicle,LAUGHER,105
Yeti's Cave,SCARER,125
Celia's Lounge,LAUGHER,90
CDA Agent's Room,SCARER,110
Roz's Files,LAUGHER,100
Scare Floor A,SCARER,105
Laugh Floor B,LAUGHER,95
Randall's Hideout,SCARER,115
Mike's Comedy Stage,LAUGHER,85
Sulley's Station,SCARER,100
Training Room 1,LAUGHER,110
Waternoose's Vault,SCARER,120
Break Room,LAUGHER,90
Locker Room A,SCARER,95
Simulation Room,LAUGHER,105
Scare Floor F,SCARER,110
Laugh Floor C,LAUGHER,100
Door Vault 23,SCARER,105
Reception Desk,LAUGHER,95
Maintenance Hall,SCARER,115
Comedy Club,LAUGHER,85
Executive Suite,SCARER,100
Mail Room,LAUGHER,110
Scare Floor D,SCARER,125
Cafeteria,LAUGHER,90
Randall's Station,SCARER,110
Celia's Office,LAUGHER,100
Storage Room 5,SCARER,105
Employee Lounge,LAUGHER,95
Top Scarer Spot,SCARER,115
Laugh Meter Room,LAUGHER,85
Door Station 12,SCARER,100
Testing Chamber,LAUGHER,110
Scare Floor Z,SCARER,120
Conference Room,LAUGHER,90
Bile's Corner,SCARER,95
Harryhausen's Spot,LAUGHER,105
Waxford's Desk,SCARER,110
Boo's Door,LAUGHER,100
Mega Conveyor,25
Toxic Sock,-6
Speed Rail,15
CDA Contamination,-12
Power Accelerator,11
Safety Violation,-10
Power Lift,10
Contaminated Gear,-14
Shortcut,2
Code 2319,-22
